split,file,question,gt_answer,llm_answer,correct
train-easy,algebra__sequence_next_term.txt,"What is next in -407, -406, -405?",-404,5,False
train-easy,algebra__sequence_next_term.txt,"What comes next: 237, 472, 707, 942, 1177?",1412,5,False
train-easy,algebra__sequence_next_term.txt,"What comes next: 28, 25, 10, -23, -80, -167, -290?",-455,5,False
train-easy,algebra__sequence_nth_term.txt,"What is the l'th term of -5546, -11091, -16636?",-5545*l - 1,5,False
train-easy,algebra__sequence_nth_term.txt,"What is the i'th term of 1, 3, 5, 7, 9, 11?",2*i - 1,5,False
train-easy,algebra__sequence_nth_term.txt,"What is the g'th term of 33, 90, 175, 288, 429, 598, 795?",14*g**2 + 15*g + 4,1,False
train-easy,arithmetic__add_or_sub.txt,1.480219 - 0.2,1.280219,5,False
train-easy,arithmetic__add_or_sub.txt,What is 0.06 less than -0.2?,-0.26,-0.26,True
train-easy,arithmetic__add_or_sub.txt,What is 62.131 + -4?,58.131,5,False
train-easy,arithmetic__add_or_sub_in_base.txt,"In base 6, what is 12 - 1134?",-1122,-1,False
train-easy,arithmetic__add_or_sub_in_base.txt,"In base 8, what is -1 - 225?",-226,5,False
train-easy,arithmetic__add_or_sub_in_base.txt,"In base 10, what is 6 - -1597?",1603,-1,False
train-easy,arithmetic__add_sub_multiple.txt,(-2 - (1 - -4)) + 2,-5,5,False
train-easy,arithmetic__add_sub_multiple.txt,-2 + 4 - (8 + -3 + 2),-5,5,False
train-easy,arithmetic__add_sub_multiple.txt,Calculate 0 + 3 + 1 + (-2 - -1).,3,5,False
train-easy,arithmetic__div.txt,Calculate 1110 divided by 2.,555,5,False
train-easy,arithmetic__div.txt,Divide -4 by -89.,4/89,0.02247191011235955,False
train-easy,arithmetic__div.txt,15 divided by 1778,15/1778,5,False
train-easy,arithmetic__mixed.txt,What is the value of ((-8)/6)/(14/21)?,-2,5,False
train-easy,arithmetic__mixed.txt,10/3*6/(-4) + -1,-6,5,False
train-easy,arithmetic__mixed.txt,What is 96/190 - (-14)/(-35)?,2/19,286,False
train-easy,arithmetic__mul.txt,Product of 38 and -6.,-228,-4,False
train-easy,arithmetic__mul.txt,0.1 times 0.0714,0.00714,5,False
train-easy,arithmetic__mul.txt,What is the product of -53 and 6?,-318,5,False
train-easy,arithmetic__mul_div_multiple.txt,What is the value of (1*3/(-1))/1?,-3,4,False
train-easy,arithmetic__mul_div_multiple.txt,What is the value of 3/2*240/(-180)?,-2,5,False
train-easy,arithmetic__mul_div_multiple.txt,((-1260)/14)/(-10)*1/9,1,5,False
train-easy,arithmetic__nearest_integer_root.txt,"What is 178907 to the power of 1/3, to the nearest integer?",56,178907,False
train-easy,arithmetic__nearest_integer_root.txt,What is the third root of 2402 to the nearest integer?,13,2886003,False
train-easy,arithmetic__nearest_integer_root.txt,"What is 11955 to the power of 1/3, to the nearest integer?",23,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpbjw09yvh.py"", line 7, in <module>
    print(calculate_power_to_three_and_one_integer(11955))
    ~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: Exceeds the limit (4300 digits) for integer string conversion; use sys.set_int_max_str_digits() to increase the limit
",False
train-easy,arithmetic__simplify_surd.txt,Simplify (-4 + sqrt(208)*-1)**2 + (-1 + sqrt(26)/sqrt(2))**2 + -3.,30*sqrt(13) + 235,5,False
train-easy,arithmetic__simplify_surd.txt,Simplify sqrt(147) + (sqrt(147) + (sqrt(147) - (1 + sqrt(147))) + 5 + sqrt(147))**2 - ((0 + sqrt(12))**2 + sqrt(3) + (sqrt(9)/sqrt(3)*-5 - sqrt(3))).,124*sqrt(3) + 592,5,False
train-easy,arithmetic__simplify_surd.txt,Simplify (((-4*sqrt(450))/sqrt(10))/sqrt(9))**2 + -4.,76,24,False
train-easy,calculus__differentiate.txt,Differentiate -b*l + 156*b + 2*l - 239 wrt b.,156 - l,5,False
train-easy,calculus__differentiate.txt,Find the third derivative of -39*f*s*x*z + 2*f*x**4 + f*x**2*z + 2*f*x + 3*f - 2*s*x**3*z + 2*s*x**2*z - 82*x**3*z wrt x.,48*f*x - 12*s*z - 492*z,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpnpxfbl23.py"", line 2
    ```python
    ^
SyntaxError: invalid syntax
",False
train-easy,calculus__differentiate.txt,Differentiate 22*m - 453 wrt m.,22,5,False
train-easy,calculus__differentiate_composed.txt,Let k(w) be the third derivative of -w**6/90 + w**5/20 - w**4/24 + 6*w**2. Let x(h) be the second derivative of k(h). What is the derivative of x(i) wrt i?,-8,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp985i1gl1.py"", line 5, in <module>
    result = second_order_derivative(w)
                                     ^
NameError: name 'w' is not defined
",False
train-easy,calculus__differentiate_composed.txt,Let m(w) be the third derivative of w**7/42 + 5*w**3/6 - 4*w**2. Differentiate m(g) wrt g.,20*g**3,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp7g6nf54j.py"", line 4, in <module>
    result = second_order_derivative(w)
                                     ^
NameError: name 'w' is not defined
",False
train-easy,calculus__differentiate_composed.txt,Find the first derivative of 1 - 11 - 7 + 4 - 15*u wrt u.,-15,-28,False
train-easy,comparison__closest.txt,Which is the closest to 1?  (a) -1  (b) 2  (c) -52,b,5,False
train-easy,comparison__closest.txt,Which is the closest to 0.1?  (a) 0.2  (b) -3/26  (c) 4,a,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpv64hxp12.py"", line 2
    The closest to 0.1 is 0.2.
        ^^^^^^^
SyntaxError: invalid syntax
",False
train-easy,comparison__closest.txt,"What is the nearest to 161 in 4, 0.1, 0.4, -4?",4,5,False
train-easy,comparison__closest_composed.txt,Let u(f) = -f - 4. Let g be u(-4). Let j = 1.2 - 0.2. Let s = j - 0. Which is the closest to s?  (a) -3/4  (b) -1/10  (c) g,c,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpaxwn42j3.py"", line 2
    The closest to s is 2 + 3 = 5.
        ^^^^^^^
SyntaxError: invalid syntax
",False
train-easy,comparison__closest_composed.txt,Let q = -0.9 + -3. Let f = q - -4. Let j = 0.03 + -3.03. Which is the closest to 1?  (a) f  (b) 4  (c) j,a,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpsi49xrke.py"", line 7, in <module>
    result = f(g(x))
                 ^
NameError: name 'x' is not defined
",False
train-easy,comparison__closest_composed.txt,Let i be 0 + -1 + (-19)/(-21). Let p = -0.5 - 0.5. Which is the nearest to -0.1?  (a) p  (b) 0.2  (c) i,c,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmphk_dke_w.py"", line 13, in <module>
    print(calculate_nearest_to_zero(p, p_neg))
          ~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmphk_dke_w.py"", line 3, in calculate_nearest_to_zero
    for i in range(1, p + 1):
             ~~~~~^^^^^^^^^^
TypeError: 'float' object cannot be interpreted as an integer
",False
train-easy,comparison__kth_biggest.txt,Which is the fourth biggest value?  (a) -3  (b) -123  (c) 1  (d) -5/2,b,5,False
train-easy,comparison__kth_biggest.txt,"What is the fourth biggest value in 0.1, 0.57, -26, -3, -3/5?",-3,2.1,False
train-easy,comparison__kth_biggest.txt,Which is the fourth smallest value?  (a) 0  (b) -4  (c) 4  (d) -50,c,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp7c5xf7o8.py"", line 2
    The correct answer is 4.
        ^^^^^^^
SyntaxError: invalid syntax
",False
train-easy,comparison__kth_biggest_composed.txt,"Let o be 19/10 + 9/(-6). What is the third biggest value in -0.06, -4, o?",-4,-4,True
train-easy,comparison__kth_biggest_composed.txt,"Let o = 342232/2775 - -6/925. Let g = o - 122. What is the third smallest value in 0.5, g, 4?",4,5,False
train-easy,comparison__kth_biggest_composed.txt,Let w = -683.8 - -628. Let x = w + 61. Let q = -5 + x. Which is the second biggest value?  (a) -3  (b) q  (c) 2,b,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp3xd2nnyi.py"", line 4, in <module>
    result = second_biggest(w, x)
                            ^
NameError: name 'w' is not defined
",False
train-easy,comparison__pair.txt,Which is smaller: -509/4 or -127?,-509/4,5,False
train-easy,comparison__pair.txt,Which is smaller: 0 or -10.1?,-10.1,5,False
train-easy,comparison__pair.txt,Which is smaller: -1/311 or -1?,-1,5,False
train-easy,comparison__pair_composed.txt,Suppose -j = 2*j - 357. Let q = j + -1189/10. Let m = -13/30 + q. Is m greater than 2/11?,False,2621.1,False
train-easy,comparison__pair_composed.txt,Let m = -6 + 8. Let p = -19/2 + 10. Do p and m have different values?,True,5,False
train-easy,comparison__pair_composed.txt,Let c = 0 + -12. Let x = c + -3. Is -16 at least x?,False,-15,False
train-easy,comparison__sort.txt,"Sort 0.2, 1/10, 1/2, -5 in decreasing order.","1/2, 0.2, 1/10, -5",5,False
train-easy,comparison__sort.txt,"Put 8/9, 3, 1/2, -0.2, -0.057 in decreasing order.","3, 8/9, 1/2, -0.057, -0.2",5,False
train-easy,comparison__sort.txt,"Sort -348, -5, -15 in ascending order.","-348, -15, -5",5,False
train-easy,comparison__sort_composed.txt,"Let x be (-1)/(-4)*(-16)/18. Let l(m) = m**2 + 13*m + 7. Let p be l(-12). Sort -1/9, x, p.","p, x, -1/9",37,False
train-easy,comparison__sort_composed.txt,"Let v = -2.8 - 0.2. Let c = -0.015 - -0.215. Let m = -0.38 + 0.08. Sort c, m, v.","v, m, c","ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpgbt_c8xl.py"", line 1
    def calculate_result(v, c, m, v):
                                  ^
SyntaxError: duplicate argument 'v' in function definition
",False
train-easy,comparison__sort_composed.txt,"Let q = 2/17 + 13/34. Suppose 0 + 5 = -n, 0 = -5*r - 3*n - 40. Put q, 2, r in descending order.","2, q, r",5,False
train-easy,measurement__conversion.txt,How many nanoseconds are there in 8083.277 minutes?,484996620000000,8.0,False
train-easy,measurement__conversion.txt,What is 315297.8l in millilitres?,315297800,5,False
train-easy,measurement__conversion.txt,What is one fifteenth of a minute in milliseconds?,4000,120,False
train-easy,measurement__time.txt,What is 296 minutes after 3:07 AM?,8:03 AM,5,False
train-easy,measurement__time.txt,How many minutes are there between 6:47 PM and 1:12 AM?,385,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp_b26bhd9.py"", line 7
    time_span = 6:47
                 ^
SyntaxError: invalid syntax
",False
train-easy,measurement__time.txt,How many minutes are there between 4:49 AM and 7:21 AM?,152,10,False
train-easy,numbers__base_conversion.txt,Convert 31 (base 8) to base 3.,221,2,False
train-easy,numbers__base_conversion.txt,4 (base 8) to base 2,100,2,False
train-easy,numbers__base_conversion.txt,-14 (base 15) to base 14,-15,5,False
train-easy,numbers__div_remainder.txt,Calculate the remainder when 3361 is divided by 86.,7,ERROR: Timeout,False
train-easy,numbers__div_remainder.txt,What is the remainder when 415 is divided by 30?,25,ERROR: Timeout,False
train-easy,numbers__div_remainder.txt,Calculate the remainder when 568 is divided by 190.,188,5,False
train-easy,numbers__div_remainder_composed.txt,"Suppose -3*m - 15 = -6*m. Suppose -m*z + 2*k - 28 = -114, 5*k = -5*z + 65. Calculate the remainder when z is divided by 9.",7,ERROR: Timeout,False
train-easy,numbers__div_remainder_composed.txt,Suppose 0 = -x - 0 - 3. Let z be 0 - x - (-5 - -6). Suppose -z*o + 0*o = -20. What is the remainder when 17 is divided by o?,7,5,False
train-easy,numbers__div_remainder_composed.txt,"Suppose 2*g + 2*z - 201 + 77 = 0, -3*g + 162 = -5*z. What is the remainder when g is divided by 16?",11,5,False
train-easy,numbers__gcd.txt,What is the greatest common factor of 13975 and 130?,65,107.5,False
train-easy,numbers__gcd.txt,What is the highest common factor of 20 and 365?,5,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp3ibdnow4.py"", line 11, in <module>
    calculate_common_factors(2, 3)
    ~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp3ibdnow4.py"", line 3, in calculate_common_factors
    common_factors = set(a) & set(b)
                     ~~~^^^
TypeError: 'int' object is not iterable
",False
train-easy,numbers__gcd.txt,Calculate the greatest common factor of 34945 and 145.,145,4,False
train-easy,numbers__gcd_composed.txt,Let j = -32 + -10. Let h = j + 68. What is the highest common factor of h and 65?,13,26,False
train-easy,numbers__gcd_composed.txt,"Suppose 2*d = 3*b + 6, 6*b = 2*b - 3*d + 9. Let f be 19/(4 + -3 + b). Calculate the highest common factor of f and 57.",19,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp0oo9zytb.py"", line 2, in <module>
    highest_common_factor = 2 * highest_common_factor_of_2 + 3
                                ^^^^^^^^^^^^^^^^^^^^^^^^^^
NameError: name 'highest_common_factor_of_2' is not defined
",False
train-easy,numbers__gcd_composed.txt,Let v be (15/(-6))/(3/(-12)). What is the highest common factor of v and 4?,2,45,False
train-easy,numbers__is_factor.txt,Is 10 a factor of 4444?,False,5,False
train-easy,numbers__is_factor.txt,Is 1383 a multiple of 4?,False,5,False
train-easy,numbers__is_factor.txt,Is 2644 a multiple of 5?,False,6,False
train-easy,numbers__is_factor_composed.txt,Let f(a) = a**3 + 10*a**2 - 3*a + 7. Let n be f(-11). Let i = n + 125. Is 18 a factor of i?,False,3628800,False
train-easy,numbers__is_factor_composed.txt,"Let a(d) = -d**2 - 1. Let p(i) = -i**3 - 7*i**2 + 6*i - 9. Let z(j) = 3*a(j) - p(j). Suppose 6*t + c = 3*t - 12, 2*t + 4*c - 2 = 0. Is 7 a factor of z(t)?",False,-45,False
train-easy,numbers__is_factor_composed.txt,"Suppose 2*f + 3*j = j + 14, -25 = -4*f - 5*j. Does 5 divide f?",True,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpy_3l4fp2.py"", line 7, in <module>
    result = calculate_f(2, 3)
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpy_3l4fp2.py"", line 4, in calculate_f
    result += f(i)
              ~^^^
TypeError: 'int' object is not callable
",False
train-easy,numbers__is_prime.txt,Is 159521 a prime number?,True,True,True
train-easy,numbers__is_prime.txt,Is 650059 a prime number?,True,5,False
train-easy,numbers__is_prime.txt,Is 8053 a prime number?,True,8053,False
train-easy,numbers__is_prime_composed.txt,"Suppose 6 = p - 2. Let g(r) = r**3 - 8*r**2 + 8*r - 5. Let i be g(p). Suppose 3*n - 5*m - 29 = 0, -3*n - 2*n + 3*m + i = 0. Is n a composite number?",False,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp9gf8ovp_.py"", line 2
    Yes, the answer is indeed 2 + 3.
             ^^^^^^
SyntaxError: invalid syntax
",False
train-easy,numbers__is_prime_composed.txt,Let g(c) = 12*c**2 + 5*c + 4. Is g(-3) composite?,False,127,False
train-easy,numbers__is_prime_composed.txt,Let j(s) = 3*s + s**2 - 2*s + 2*s + 3. Let v = -35 + 31. Is j(v) a prime number?,True,5,False
train-easy,numbers__lcm.txt,Calculate the least common multiple of 100 and 132.,3300,5,False
train-easy,numbers__lcm.txt,Calculate the common denominator of 19/858 and -77/234.,2574,19,False
train-easy,numbers__lcm.txt,Calculate the lowest common multiple of 63 and 210.,630,24,False
train-easy,numbers__lcm_composed.txt,Let m(t) = -6*t - 3. Let o be m(-6). Let r = o - 79/2. Let h(n) = 3*n - 6. Find the common denominator of r and h(-4).,2,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp_qj3skjd.py"", line 6, in <module>
    print(f""The final answer is {result}"")
                                 ^^^^^^
NameError: name 'result' is not defined
",False
train-easy,numbers__lcm_composed.txt,What is the common denominator of 127/12 and 55/36 + (-44)/(-198)?,12,5,False
train-easy,numbers__lcm_composed.txt,Let m(f) = -f**2 + 7*f + 2. Let l be m(7). What is the common denominator of l*2/(-5)*1 and 1/2?,10,-1.0,False
train-easy,numbers__list_prime_factors.txt,What are the prime factors of 5476?,"2, 37",10952,False
train-easy,numbers__list_prime_factors.txt,List the prime factors of 91821.,"3, 127, 241",3,False
train-easy,numbers__list_prime_factors.txt,What are the prime factors of 30982?,"2, 7, 2213",1,False
train-easy,numbers__list_prime_factors_composed.txt,"Suppose 3*a = 5*y + 65, -a - 3*y = -3 - 0. Suppose -3*l - a = -4*l. What are the prime factors of l?","3, 5",15,False
train-easy,numbers__list_prime_factors_composed.txt,Let b be 13/6 - 6/36. Let d(l) = 5*l**2 + 0 - 1 - b - l**3 - 2*l. List the prime factors of d(4).,5,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp24cvz9m_.py"", line 7, in <module>
    print(calculate_result(d))
                           ^
NameError: name 'd' is not defined. Did you mean: 'id'?
",False
train-easy,numbers__list_prime_factors_composed.txt,Let n(y) be the third derivative of y**6/120 + y**5/15 - y**4/24 - 2*y**2. What are the prime factors of n(-3)?,"2, 3",-6.0,False
train-easy,numbers__place_value.txt,What is the hundreds digit of 19402?,4,2,False
train-easy,numbers__place_value.txt,What is the ten thousands digit of 13158?,1,2000000000,False
train-easy,numbers__place_value.txt,What is the tens digit of 432?,3,5,False
train-easy,numbers__place_value_composed.txt,Let u be ((-6)/4)/((-12)/448). Suppose -u - 24 = -5*g. Let t = 22 - g. What is the units digit of t?,6,1.2000000000000002,False
train-easy,numbers__place_value_composed.txt,Suppose 0 = -7*l + 486 + 277. What is the units digit of l?,9,2,False
train-easy,numbers__place_value_composed.txt,"Let l be 2 + -1 - (-4 + 9). Let u be 6/8 + (-9)/l. Suppose -2*j - 4*a + 22 = a, 2*a + 14 = u*j. What is the units digit of j?",6,5,False
train-easy,numbers__round_number.txt,Round 0.0002202 to 6 decimal places.,0.00022,5,False
train-easy,numbers__round_number.txt,What is 3.8068 rounded to two dps?,3.81,5.8068,False
train-easy,numbers__round_number.txt,What is 1389800 rounded to the nearest one million?,1000000,5,False
train-easy,numbers__round_number_composed.txt,Let m = 10.7 - 0.7. Let d = 9.99999969 - m. Round d to seven dps.,-0.0000003,-0.31000000078051926,False
train-easy,numbers__round_number_composed.txt,Let y(g) be the second derivative of 16667*g**4/6 - g**3/3 + 3*g. Let m be y(3). What is m rounded to the nearest one hundred thousand?,300000,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpxjfpxn0a.py"", line 5, in <module>
    y = 16667*g**4/6 - 3*g
              ^
NameError: name 'g' is not defined
",False
train-easy,numbers__round_number_composed.txt,"Suppose 0 = 3*r, -3*b + 8 = 2*r - 4. Let i be 2/(-2 + (-512)/(-255)). Suppose -b*k = -k + i. What is k rounded to the nearest ten?",-90,5,False
train-easy,polynomials__add.txt,Let q(l) = -9*l - 14. Let i(m) = -3*m - 5. Give -17*i(j) + 6*q(j).,1 - 3*j,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp3841voaf.py"", line 1, in <module>
    q = -9*l - 14
           ^
NameError: name 'l' is not defined
",False
train-easy,polynomials__add.txt,"Let r(b) = 5*b - 1. Suppose -4*l = -5*x, 5*l + 4*x - 3*x = 0. Suppose -30 = -5*s - 3*n, l*s - n = 3*s - 18. Let k(w) = 1 - 6*w. What is s*k(o) + 7*r(o)?",-o - 1,5,False
train-easy,polynomials__add.txt,Let x(i) = i**2 - 2*i. Let u = -19 + 30. Let v(f) = -5*f**2 + 2*f**2 + u*f - 3*f**2. Let t(s) = -s**2 - 9*s - 3. Let z be t(-7). What is z*x(n) + 2*v(n)?,-n**2,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpsvzml79k.py"", line 2
    ```python
    ^
SyntaxError: invalid syntax
",False
train-easy,polynomials__coefficient_named.txt,Express 41*o - 5 + 9*o + 5 as r + m*o and give m.,50,5,False
train-easy,polynomials__coefficient_named.txt,Rearrange (-4*x + 4*x - x)*(1 + 2 - 2) + x - 4*x + 2*x + (-3 - 8 + 0)*(0*x - 3*x + x) to h*x + g and give h.,20,5,False
train-easy,polynomials__coefficient_named.txt,Express -b**3 + 4*b**4 - 4*b**4 - b**4 + (4*b**3 + 2*b**3 - 4*b**3)*(-2*b + 4*b + 0*b) in the form w*b**4 + f + a*b + m*b**2 + g*b**3 and give m.,0,5,False
train-easy,polynomials__collect.txt,Collect the terms in 13 - 95*o**3 - 13.,-95*o**3,5,False
train-easy,polynomials__collect.txt,Collect the terms in 21*m**3 - 8*m**3 - 6*m**3.,7*m**3,9,False
train-easy,polynomials__collect.txt,Collect the terms in 4*g**3 - 240*g**2 + 121*g**2 + 119*g**2.,4*g**3,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpwnqeq3nd.py"", line 1
    def calculate_result(g, g**2):
                             ^^
SyntaxError: invalid syntax
",False
train-easy,polynomials__compose.txt,Let r(c) = 9*c**2. Let m(t) be the first derivative of 2*t**3/3 + 1. Calculate r(m(w)).,36*w**4,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpy3jp1uo2.py"", line 4, in <module>
    result = calculate_first_derivative(r, m)
                                        ^
NameError: name 'r' is not defined
",False
train-easy,polynomials__compose.txt,Let u(i) = 2*i. Let n(w) be the first derivative of w**5/30 - 2*w**3/3 + 1. Let r(m) be the third derivative of n(m). What is u(r(h))?,8*h,"ERROR:   File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpvfsg_cud.py"", line 2
    ```python
    ^
SyntaxError: invalid syntax
",False
train-easy,polynomials__compose.txt,Let m(r) = 0 + 0 + 5*r**2. Let p(x) = -2*x**2 - 3*x + 3. Let v(o) = -3*o**2 - 4*o + 4. Let w(f) = -4*p(f) + 3*v(f). Calculate w(m(z)).,-25*z**4,-20,False
train-easy,polynomials__evaluate.txt,Let t(n) = 2*n**2 + 12*n + 2. Calculate t(-9).,56,5,False
train-easy,polynomials__evaluate.txt,Let w(j) = -j**3 + 15*j**2 + j - 3. Calculate w(15).,12,12,True
train-easy,polynomials__evaluate.txt,Let g(t) = t**3 + t**2 + 4*t - 57. Give g(0).,-57,-57,True
train-easy,polynomials__evaluate_composed.txt,"Suppose -2*o = -o + 5*c + 19, -3*o - 2*c - 5 = 0. Let j(x) = 2*x + o + 0*x + 3*x**2 - 2*x**2. Calculate j(-1).",0,5,False
train-easy,polynomials__evaluate_composed.txt,"Suppose -2*n + 2*f + 16 = 0, -4*n + 5*f + 35 = -0*n. Let d(h) = 0*h + n - 4*h - 4. What is d(3)?",-11,10,False
train-easy,polynomials__evaluate_composed.txt,"Let f(g) = 2*g. Let h be 10*1*(-1 + 2). Suppose 3*t - h = -5*b, -b + 2 + 0 = 3*t. Suppose -b*q - 4 + 0 = 0. Determine f(q).",-4,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpey9ays06.py"", line 7, in <module>
    result = f(h(t))
                 ^
NameError: name 't' is not defined
",False
