file,question,gt_answer,llm_answer,correct
comparison__sort_composed.txt,"Let x be (-1)/(-4)*(-16)/18. Let l(m) = m**2 + 13*m + 7. Let p be l(-12). Sort -1/9, x, p.","p, x, -1/9",-1,False
comparison__sort_composed.txt,"Let v = -2.8 - 0.2. Let c = -0.015 - -0.215. Let m = -0.38 + 0.08. Sort c, m, v.","v, m, c",-2.8,False
comparison__sort_composed.txt,"Let q = 2/17 + 13/34. Suppose 0 + 5 = -n, 0 = -5*r - 3*n - 40. Put q, 2, r in descending order.","2, q, r",2,False
measurement__conversion.txt,How many nanoseconds are there in 8083.277 minutes?,484996620000000,8083.277,False
measurement__conversion.txt,What is 315297.8l in millilitres?,315297800,315297.8,False
measurement__conversion.txt,What is one fifteenth of a minute in milliseconds?,4000,1,False
measurement__time.txt,What is 296 minutes after 3:07 AM?,8:03 AM,296,False
measurement__time.txt,How many minutes are there between 6:47 PM and 1:12 AM?,385,6,False
measurement__time.txt,How many minutes are there between 4:49 AM and 7:21 AM?,152,4,False
numbers__base_conversion.txt,Convert 31 (base 8) to base 3.,221,31,False
numbers__base_conversion.txt,4 (base 8) to base 2,100,4,False
numbers__base_conversion.txt,-14 (base 15) to base 14,-15,-14,False
numbers__div_remainder.txt,Calculate the remainder when 3361 is divided by 86.,7,3361,False
numbers__div_remainder.txt,What is the remainder when 415 is divided by 30?,25,415,False
numbers__div_remainder.txt,Calculate the remainder when 568 is divided by 190.,188,568,False
numbers__div_remainder_composed.txt,"Suppose -3*m - 15 = -6*m. Suppose -m*z + 2*k - 28 = -114, 5*k = -5*z + 65. Calculate the remainder when z is divided by 9.",7,-3,False
numbers__div_remainder_composed.txt,Suppose 0 = -x - 0 - 3. Let z be 0 - x - (-5 - -6). Suppose -z*o + 0*o = -20. What is the remainder when 17 is divided by o?,7,0,False
numbers__div_remainder_composed.txt,"Suppose 2*g + 2*z - 201 + 77 = 0, -3*g + 162 = -5*z. What is the remainder when g is divided by 16?",11,2,False
numbers__gcd.txt,What is the greatest common factor of 13975 and 130?,65,13975,False
numbers__gcd.txt,What is the highest common factor of 20 and 365?,5,20,False
numbers__gcd.txt,Calculate the greatest common factor of 34945 and 145.,145,34945,False
numbers__gcd_composed.txt,Let j = -32 + -10. Let h = j + 68. What is the highest common factor of h and 65?,13,-32,False
numbers__gcd_composed.txt,"Suppose 2*d = 3*b + 6, 6*b = 2*b - 3*d + 9. Let f be 19/(4 + -3 + b). Calculate the highest common factor of f and 57.",19,2,False
numbers__gcd_composed.txt,Let v be (15/(-6))/(3/(-12)). What is the highest common factor of v and 4?,2,15,False
numbers__is_factor.txt,Is 10 a factor of 4444?,False,10,False
numbers__is_factor.txt,Is 1383 a multiple of 4?,False,1383,False
numbers__is_factor.txt,Is 2644 a multiple of 5?,False,2644,False
numbers__is_factor_composed.txt,Let f(a) = a**3 + 10*a**2 - 3*a + 7. Let n be f(-11). Let i = n + 125. Is 18 a factor of i?,False,3,False
numbers__is_factor_composed.txt,"Let a(d) = -d**2 - 1. Let p(i) = -i**3 - 7*i**2 + 6*i - 9. Let z(j) = 3*a(j) - p(j). Suppose 6*t + c = 3*t - 12, 2*t + 4*c - 2 = 0. Is 7 a factor of z(t)?",False,2,False
numbers__is_factor_composed.txt,"Suppose 2*f + 3*j = j + 14, -25 = -4*f - 5*j. Does 5 divide f?",True,2,False
numbers__is_prime.txt,Is 159521 a prime number?,True,159521,False
numbers__is_prime.txt,Is 650059 a prime number?,True,650059,False
numbers__is_prime.txt,Is 8053 a prime number?,True,8053,False
numbers__is_prime_composed.txt,"Suppose 6 = p - 2. Let g(r) = r**3 - 8*r**2 + 8*r - 5. Let i be g(p). Suppose 3*n - 5*m - 29 = 0, -3*n - 2*n + 3*m + i = 0. Is n a composite number?",False,6,False
numbers__is_prime_composed.txt,Let g(c) = 12*c**2 + 5*c + 4. Is g(-3) composite?,False,12,False
numbers__is_prime_composed.txt,Let j(s) = 3*s + s**2 - 2*s + 2*s + 3. Let v = -35 + 31. Is j(v) a prime number?,True,3,False
numbers__lcm.txt,Calculate the least common multiple of 100 and 132.,3300,100,False
numbers__lcm.txt,Calculate the common denominator of 19/858 and -77/234.,2574,19,False
numbers__lcm.txt,Calculate the lowest common multiple of 63 and 210.,630,63,False
numbers__lcm_composed.txt,Let m(t) = -6*t - 3. Let o be m(-6). Let r = o - 79/2. Let h(n) = 3*n - 6. Find the common denominator of r and h(-4).,2,-6,False
numbers__lcm_composed.txt,What is the common denominator of 127/12 and 55/36 + (-44)/(-198)?,12,127,False
numbers__lcm_composed.txt,Let m(f) = -f**2 + 7*f + 2. Let l be m(7). What is the common denominator of l*2/(-5)*1 and 1/2?,10,2,False
numbers__list_prime_factors.txt,What are the prime factors of 5476?,"2, 37",5476,False
numbers__list_prime_factors.txt,List the prime factors of 91821.,"3, 127, 241",91821,False
numbers__list_prime_factors.txt,What are the prime factors of 30982?,"2, 7, 2213",30982,False
numbers__list_prime_factors_composed.txt,"Suppose 3*a = 5*y + 65, -a - 3*y = -3 - 0. Suppose -3*l - a = -4*l. What are the prime factors of l?","3, 5",3,False
numbers__list_prime_factors_composed.txt,Let b be 13/6 - 6/36. Let d(l) = 5*l**2 + 0 - 1 - b - l**3 - 2*l. List the prime factors of d(4).,5,13,False
numbers__list_prime_factors_composed.txt,Let n(y) be the third derivative of y**6/120 + y**5/15 - y**4/24 - 2*y**2. What are the prime factors of n(-3)?,"2, 3",6,False
numbers__place_value.txt,What is the hundreds digit of 19402?,4,19402,False
numbers__place_value.txt,What is the ten thousands digit of 13158?,1,13158,False
numbers__place_value.txt,What is the tens digit of 432?,3,432,False
numbers__place_value_composed.txt,Let u be ((-6)/4)/((-12)/448). Suppose -u - 24 = -5*g. Let t = 22 - g. What is the units digit of t?,6,-6,False
numbers__place_value_composed.txt,Suppose 0 = -7*l + 486 + 277. What is the units digit of l?,9,0,False
numbers__place_value_composed.txt,"Let l be 2 + -1 - (-4 + 9). Let u be 6/8 + (-9)/l. Suppose -2*j - 4*a + 22 = a, 2*a + 14 = u*j. What is the units digit of j?",6,2,False
numbers__round_number.txt,Round 0.0002202 to 6 decimal places.,0.00022,0.0002202,False
numbers__round_number.txt,What is 3.8068 rounded to two dps?,3.81,3.8068,False
numbers__round_number.txt,What is 1389800 rounded to the nearest one million?,1000000,1389800,False
numbers__round_number_composed.txt,Let m = 10.7 - 0.7. Let d = 9.99999969 - m. Round d to seven dps.,-0.0000003,10.7,False
numbers__round_number_composed.txt,Let y(g) be the second derivative of 16667*g**4/6 - g**3/3 + 3*g. Let m be y(3). What is m rounded to the nearest one hundred thousand?,300000,16667,False
numbers__round_number_composed.txt,"Suppose 0 = 3*r, -3*b + 8 = 2*r - 4. Let i be 2/(-2 + (-512)/(-255)). Suppose -b*k = -k + i. What is k rounded to the nearest ten?",-90,0,False
polynomials__add.txt,Let q(l) = -9*l - 14. Let i(m) = -3*m - 5. Give -17*i(j) + 6*q(j).,1 - 3*j,-9,False
polynomials__add.txt,"Let r(b) = 5*b - 1. Suppose -4*l = -5*x, 5*l + 4*x - 3*x = 0. Suppose -30 = -5*s - 3*n, l*s - n = 3*s - 18. Let k(w) = 1 - 6*w. What is s*k(o) + 7*r(o)?",-o - 1,5,False
polynomials__add.txt,Let x(i) = i**2 - 2*i. Let u = -19 + 30. Let v(f) = -5*f**2 + 2*f**2 + u*f - 3*f**2. Let t(s) = -s**2 - 9*s - 3. Let z be t(-7). What is z*x(n) + 2*v(n)?,-n**2,2,False
polynomials__coefficient_named.txt,Express 41*o - 5 + 9*o + 5 as r + m*o and give m.,50,41,False
polynomials__coefficient_named.txt,Rearrange (-4*x + 4*x - x)*(1 + 2 - 2) + x - 4*x + 2*x + (-3 - 8 + 0)*(0*x - 3*x + x) to h*x + g and give h.,20,-4,False
polynomials__coefficient_named.txt,Express -b**3 + 4*b**4 - 4*b**4 - b**4 + (4*b**3 + 2*b**3 - 4*b**3)*(-2*b + 4*b + 0*b) in the form w*b**4 + f + a*b + m*b**2 + g*b**3 and give m.,0,3,False
polynomials__collect.txt,Collect the terms in 13 - 95*o**3 - 13.,-95*o**3,13,False
polynomials__collect.txt,Collect the terms in 21*m**3 - 8*m**3 - 6*m**3.,7*m**3,21,False
polynomials__collect.txt,Collect the terms in 4*g**3 - 240*g**2 + 121*g**2 + 119*g**2.,4*g**3,4,False
polynomials__compose.txt,Let r(c) = 9*c**2. Let m(t) be the first derivative of 2*t**3/3 + 1. Calculate r(m(w)).,36*w**4,9,False
polynomials__compose.txt,Let u(i) = 2*i. Let n(w) be the first derivative of w**5/30 - 2*w**3/3 + 1. Let r(m) be the third derivative of n(m). What is u(r(h))?,8*h,2,False
polynomials__compose.txt,Let m(r) = 0 + 0 + 5*r**2. Let p(x) = -2*x**2 - 3*x + 3. Let v(o) = -3*o**2 - 4*o + 4. Let w(f) = -4*p(f) + 3*v(f). Calculate w(m(z)).,-25*z**4,0,False
polynomials__evaluate.txt,Let t(n) = 2*n**2 + 12*n + 2. Calculate t(-9).,56,2,False
polynomials__evaluate.txt,Let w(j) = -j**3 + 15*j**2 + j - 3. Calculate w(15).,12,3,False
polynomials__evaluate.txt,Let g(t) = t**3 + t**2 + 4*t - 57. Give g(0).,-57,3,False
polynomials__evaluate_composed.txt,"Suppose -2*o = -o + 5*c + 19, -3*o - 2*c - 5 = 0. Let j(x) = 2*x + o + 0*x + 3*x**2 - 2*x**2. Calculate j(-1).",0,-2,False
polynomials__evaluate_composed.txt,"Suppose -2*n + 2*f + 16 = 0, -4*n + 5*f + 35 = -0*n. Let d(h) = 0*h + n - 4*h - 4. What is d(3)?",-11,-2,False
polynomials__evaluate_composed.txt,"Let f(g) = 2*g. Let h be 10*1*(-1 + 2). Suppose 3*t - h = -5*b, -b + 2 + 0 = 3*t. Suppose -b*q - 4 + 0 = 0. Determine f(q).",-4,2,False
polynomials__expand.txt,Expand 2*w**5 - 3*w**5 + 2*w**5 + (-2*w**4 + 2*w**4 - 2*w**4)*(2*w + 0*w - w) - w**5 - 2*w**5 + 6*w**5 + 1.,2*w**5 + 1,2,False
polynomials__expand.txt,Expand (2*i**4 - i**4 + i**4)*(-33*i - 19 + 19).,-66*i**5,2,False
polynomials__expand.txt,Expand (-r + 0*r + 2*r)*(-4 + 7*r + 4).,7*r**2,0,False
polynomials__simplify_power.txt,Simplify (z**(-2/9)*z)/(z/(z/(z**(-4)/z)))*z/z**(-4/9)*z**6*z assuming z is positive.,z**(128/9),-2,False
polynomials__simplify_power.txt,Simplify (d*d*d*d**(-7)*d*d)/d**(-8)*d**(2/7)*((d/(d/(d**(-10)*d)))/d)/d assuming d is positive.,d**(-33/7),-7,False
polynomials__simplify_power.txt,Simplify ((n*n*(n/n**0)/n)/n*n)/(n/((n/((n/(n**2*n))/n))/n*n)*n) assuming n is positive.,n**4,0,False
probability__swr_p_level_set.txt,"Two letters picked without replacement from {g: 4, i: 1, z: 1, u: 1, h: 1}. Give prob of picking 2 h.",0,4,False
probability__swr_p_level_set.txt,"Three letters picked without replacement from ezgijue. What is prob of picking 1 z, 1 e and 1 u?",2/35,1,False
probability__swr_p_level_set.txt,Four letters picked without replacement from rojjjojrorooorj. Give prob of picking 3 o and 1 r.,16/273,3,False
probability__swr_p_sequence.txt,"Two letters picked without replacement from {j: 1, d: 4, x: 3, r: 4, z: 2, y: 6}. What is prob of sequence dr?",4/95,1,False
probability__swr_p_sequence.txt,Three letters picked without replacement from {i: 6}. What is prob of sequence iii?,1,6,False
probability__swr_p_sequence.txt,"Calculate prob of sequence ayy when three letters picked without replacement from {n: 1, o: 4, y: 2, x: 1, a: 1}.",1/252,1,False
